billNum,lcoNum,sessYear,sessNum,typeCode,billTitle,stmtPurp,emergencyCert,raised,proposed,subBill,nomination,numPages,houseCalNum,senateCalNum,filedDate,readIntoFloor,petitionNum,pasaNum,pasaType,senateAmd,houseAmd
HB05001,176,2020,157,PB    ,AN ACT EXEMPTING ALL AIRCRAFT FROM THE SALES AND USE TAXES.,To provide a uniform sales and use taxes exemption to all aircraft.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-04 00:00:00,2020-02-05 00:00:00,,0, ,,
HB05002,51,2020,157,PB    ,AN ACT CONCERNING THE PENSION AND ANNUITY INCOME DEDUCTION FROM THE PERSONAL INCOME TAX AND THE QUALIFYING INCOME THRESHOLD FOR MARRIED INDIVIDUALS FILING JOINTLY.,"To increase the qualifying income threshold for the pension and annuity income deduction from the personal income tax for married individuals filing jointly, to twice the amount of the qualifying income threshold for an unmarried individual.",FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-04 00:00:00,2020-02-05 00:00:00,,0, ,,
HB05003,146,2020,157,PB    ,AN ACT CONCERNING THE ESTATE TAX EXEMPTION THRESHOLD AND THE GIFT TAX CAP.,To maintain the estate tax exemption threshold at its current level and to eliminate the gift tax cap.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-04 00:00:00,2020-02-05 00:00:00,,0, ,,
HB05004,38,2020,157,PB    ,AN ACT DECREASING FEES FOR COPYING PUBLIC RECORDS.,To reduce to reasonable levels the fees paid by the public for copies of public records.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-04 00:00:00,2020-02-05 00:00:00,,0, ,,
HB05005,610,2020,157,GB    ,"AN ACT ADJUSTING THE STATE BUDGET FOR THE BIENNIUM ENDING JUNE 30, 2021.",To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,40,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05006,647,2020,157,GB    ,"AN ACT MAKING DEFICIENCY APPROPRIATIONS FOR THE FISCAL YEAR ENDING JUNE 30, 2020.",To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,4,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05007,616,2020,157,GB    ,AN ACT CONCERNING THE SMALL BUSINESS EXPRESS PROGRAM.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,9,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05008,600,2020,157,GB    ,AN ACT CONCERNING THE ESTABLISHMENT OF HIGH PERFORMANCE GREEN BUILDING STANDARDS FOR VOLUNTARY ADOPTION BY MUNICIPALITIES.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,9,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05009,188,2020,157,PB    ,AN ACT EXEMPTING SAFETY APPAREL FROM THE SALES AND USE TAXES.,"To exempt the sale of and the storage, use or other consumption of safety apparel from the sales and use taxes.",FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05010,708,2020,157,GB    ,AN ACT CONCERNING REVENUE ITEMS TO IMPLEMENT THE GOVERNOR'S BUDGET.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,48,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05011,148,2020,157,PB    ,AN ACT REINSTATING A PERSONAL INCOME TAX CREDIT FOR CERTAIN INDIVIDUALS WITH A STEM COLLEGE DEGREE.,"To reinstate a personal income tax credit for certain individuals who receive a science, technology, engineering or math-related degree from an institution of higher education.",FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05012,595,2020,157,GB    ,AN ACT CONCERNING THE OPTIMIZATION OF STATE AGENCY OPERATIONS AND SERVICES.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,27,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05013,518,2020,157,RB    ,AN ACT CONCERNING ACCESS TO THE SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM BY ELIGIBLE COLLEGE STUDENTS.,To increase access to the Supplemental Nutrition Assistance Program by eligible students at institutions of higher education.,FALSE,TRUE,FALSE,FALSE,FALSE,3,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05014,712,2020,157,RB    ,AN ACT ESTABLISHING A TAX CREDIT FOR PROVIDERS OF CLINICAL NURSING EXPERIENCES.,"To provide a tax credit to preceptors who provide clinical nursing experiences to nursing students earning a bachelor's, master's or doctorate degree from an institution of higher education in the state.",FALSE,TRUE,FALSE,FALSE,FALSE,3,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05015,384,2020,157,GB    ,AN ACT CONCERNING THE GOVERNOR'S BUDGET RECOMMENDATIONS FOR HUMAN SERVICES.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,5,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05016,112,2020,157,PB    ,AN ACT EXPANDING ACCESS TO MEDICAL SPECIALISTS FOR MEDICAID BENEFICIARIES IN SOUTHEASTERN CONNECTICUT.,To ensure adequate access to medical specialists in southeastern Connecticut.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05017,203,2020,157,PB    ,AN ACT INCREASING ACCESS TO FEMININE HYGIENE PRODUCTS.,To provide feminine hygiene products to women who otherwise may not be able to afford such products.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05018,628,2020,157,GB    ,AN ACT CONCERNING HEALTH CARE COST GROWTH IN CONNECTICUT.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,39,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05019,717,2020,157,GB    ,AN ACT CONCERNING FAIR FUTURES FOLLOWING ERASURE OF CRIMINAL RECORDS.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,12,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05020,677,2020,157,GB    ,AN ACT IMPLEMENTING THE GOVERNOR'S BUDGET RECOMMENDATIONS REGARDING PUBLIC HEALTH.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,26,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05021,634,2020,157,GB    ,AN ACT CONCERNING REVISIONS TO THE CONNECTICUT PORT AUTHORITY STATUTE.,To implement the Governor's budget recommendations.,FALSE,FALSE,FALSE,FALSE,FALSE,7,,,2020-02-05 00:00:00,2020-02-06 00:00:00,,0, ,,
HB05022,510,2020,157,PB    ,AN ACT EXEMPTING SENIOR CITIZENS FROM THE PASSPORT TO THE PARKS MOTOR VEHICLE REGISTRATION FEE.,To exempt senior citizens from payment of the Passport to the Parks motor vehicle registration fee.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-06 00:00:00,2020-02-07 00:00:00,,0, ,,
HB05023,219,2020,157,PB    ,AN ACT EXEMPTING SENIOR CITIZENS FROM THE PASSPORT TO THE PARKS MOTOR VEHICLE REGISTRATION FEE.,To allow senior citizens to park at state parks free of charge.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-06 00:00:00,2020-02-07 00:00:00,,0, ,,
HB05024,222,2020,157,PB    ,AN ACT ESTABLISHING A PERSONAL INCOME TAX DEDUCTION FOR HOME HEALTH CARE COSTS.,To establish a deduction under the personal income tax for the cost of full-time home health care.,FALSE,FALSE,TRUE,FALSE,FALSE,1,,,2020-02-06 00:00:00,2020-02-07 00:00:00,,0, ,,
